symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
MGLU3,OP,P,13.24,9700,6.196322441,BRL,1,2021-7-12
MGLU3,OP,C,17.49,36900,0.002541209105,BRL,1,2021-7-12
BBAS,OP,P,33.12,2000,1.903931022,BRL,1,2021-7-12
HYPE3,OP,P,29.97,3200,2.973346233,BRL,1,2021-7-12
VIIA3,OP,C,10.25,1900,0.01792746596,BRL,1,2022-1-1
CSNA,OP,C,21.23,-200,1.46756947,BRL,1,2021-7-12
VALE3,OP,C,45.47,1400,31.07473373,BRL,1,2022-6-12
ITSA4,OP,P,9.52,70500,0.1346291751,BRL,1,2021-7-12
BBAS,OP,P,29.21,2300,0.6923075318,BRL,1,2022-1-1
MGLU3,OP,P,19.99,21300,12.91200256,BRL,1,2021-7-12
BRDT3,OP,P,21.5,11100,1.230978608,BRL,1,2022-1-1
ITSA4,OP,C,9.74,242000,0.4541192055,BRL,1,2022-1-1
BRKM5,OP,C,58,-8600,0.7569651008,BRL,1,2021-7-12
ITUB4,OP,C,21.99,277700,1.500400305,BRL,1,2022-1-1
PETR4,OP,C,31.1,12900,1.152374506,BRL,1,2022-1-1
MULT3,OP,P,21.5,-7200,2.364980936,BRL,1,2021-7-12
VIVT3,OP,P,44.38,-1000,0.1132841334,BRL,1,2021-7-12
CYRE3,OP,P,19.41,2300,5.994795799,BRL,1,2021-7-12
BBAS,OP,C,28.46,100,4.002958298,BRL,1,2022-1-1
BRKM5,OP,C,47,8100,6.919010639,BRL,1,2021-7-12
VALE3,OP,P,60.47,-10300,0.3527745903,BRL,1,2021-7-12
ITUB4,OP,P,22.49,3700,0.9645297527,BRL,1,2022-1-1
ABEV,OP,C,18.57,-367300,0.01911646314,BRL,1,2021-7-12
VALE3,OP,P,75.47,-88400,6.605135441,BRL,1,2022-1-1
ITUB4,OP,C,21.74,203900,1.665103197,BRL,1,2022-1-1
VIIA3,OP,P,9.4,8500,4.130369663,BRL,1,2021-7-12
