symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
GGBR4,GGB4A,OP,C,25.28,-110200,2.34,BRL,1,2022-1-1
BBAS3,BBASE,OP,P,27.71,2700,0.47,BRL,1,2022-1-1
ABEV3,ABV3A,OP,C,13.57,3100,3.66,BRL,1,2022-5-7
CYRE3,CYR3A,OP,C,14.41,-19100,0.3,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,102.21,100,1.61,BRL,1,2022-5-7
RADL3,RAL3A,OP,C,23.87,37500,0.1,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,31.71,-10300,1.67,BRL,1,2022-1-1
CSNA3,CSN3A,OP,C,20.5,-13500,2.54,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,97.47,114200,0.01,BRL,1,2021-7-12
LAME4,LAM4E,OP,C,6,-8400,0.09,BRL,1,2021-7-12
PCAR3,PCA3A,OP,C,33.5,2600,0.01,BRL,1,2021-7-12
BBDC3,BDC3A,OP,C,18.99,61200,0.28,BRL,1,2022-1-1
TAE11,TAE1A,OP,C,37,25700,0.96,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,12.24,-216900,0.01,BRL,1,2021-7-12
ELET6,ELE6A,OP,C,35.5,800,0.71,BRL,1,2022-1-1
BRFS3,BRF3A,OP,C,29,-25700,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,83.61,-4500,13.57,BRL,1,2022-4-4
BBSE3,BBS3E,OP,P,19.48,-400,0.18,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,9.5,27800,4.22,BRL,1,2022-1-1
CIEL3,CIL3A,OP,C,2.66,-800,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,90.47,68700,19.91,BRL,1,2021-7-12
BRAP4,BRA4A,OP,C,47.66,3000,3.28,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,31.96,-44300,1.79,BRL,1,2022-1-1
ELET6,ELE6A,OP,C,33,30000,0.74,BRL,1,2021-7-12
ITSA4,ITSAA,OP,C,9.52,-10400,0.32,BRL,1,2021-7-12
BBSE3,BBS3A,OP,C,24,-4000,0.07,BRL,1,2022-1-1
YDUQ3,YDU3A,OP,C,26,-25500,0.14,BRL,1,2021-7-12
BBDC3,BDC3A,OP,C,19.61,-700,0.03,BRL,1,2021-7-12
BBSE3,BBS3E,OP,P,25.98,200,5.45,BRL,1,2021-7-12
MRFG3,MRF3E,OP,P,23.5,-21300,2.14,BRL,1,2022-1-1
BBAS3,BBAS3,ST,,,54500,31.3,BRL,1,
USIM5,USIME,OP,P,13.07,300,0.51,BRL,1,2021-7-12
MGLU3,MGL3E,OP,C,14.49,-106800,0.01,BRL,1,2021-7-12
CIEL3,CIL3E,OP,P,2.96,400,0.94,BRL,1,2021-7-12
BRKM5,BRK5A,OP,C,64,-200,0.08,BRL,1,2021-7-12
ELET3,ELE3E,OP,P,38.05,11100,5.37,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,32.1,18500,3.1,BRL,1,2022-1-1
VBBR3,VBB3A,OP,C,21.5,800,1.21,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,71.97,104700,3.36,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,26.1,16800,0.57,BRL,1,2022-1-1
CIEL3,CIL3E,OP,P,3.26,600,1.24,BRL,1,2021-7-12
MGLU3,MGL3E,OP,C,19.99,-4600,0.01,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,5.6,-31600,0.74,BRL,1,2022-1-1
B3SA3,B3SAE,OP,P,14.6,1900,3.44,BRL,1,2022-1-1
MRFG3,MRF3A,OP,C,27,30000,0.2,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,24.74,-1600,5,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,11.1,56100,0.74,BRL,1,2022-1-1
MRFG3,MRF3E,OP,P,25.1,-49500,3.27,BRL,1,2021-7-12
EMBR3,EMB3A,OP,C,21,-1500,0.25,BRL,1,2021-7-12
JBSS3,JBS3E,OP,C,34.73,1000,0.92,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,9.49,17900,2.6,BRL,1,2022-1-1
PCAR3,PCA3E,OP,P,31,-10200,9.17,BRL,1,2021-7-12
PCAR3,PCA3A,OP,C,30,8600,0.01,BRL,1,2021-7-12
IBM,IBM,ST,,,,116.92,USD,1,
VIVT3,VVI3A,OP,C,47.88,5900,2.42,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,27.6,67800,2,BRL,1,2022-5-7
ITUB4,ITB4A,OP,C,25.74,100,0.17,BRL,1,2022-1-1
LRCX,LRCX,ST,,,795,693.53,USD,1,
EMBR3,EMB3E,OP,P,24.5,18000,6.16,BRL,1,2021-7-12
SPY,SPY,ST,,,-3300,450.5,USD,1,
VALE3,VAL3A,OP,C,84.47,20900,0.09,BRL,1,2021-7-12
BBDC3,BDC3E,OP,P,18.11,54800,1.28,BRL,1,2021-7-12
ITUB4,ITB4E,OP,C,24.91,11800,0.04,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,9.49,1800,20.15,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,23.24,466800,1.45,BRL,1,2022-1-1
HYPE,HYP3A,OP,C,28,48800,0.93,BRL,1,2022-1-1
PETR3,PTR3E,OP,C,30.85,1300,0.78,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,5.8,30600,0.88,BRL,1,2022-1-1
YDUQ3,YDU3A,OP,C,24,-20000,0.41,BRL,1,2021-7-12
B3SA3,B3SAE,OP,P,13.06,151000,2.03,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,23.5,22000,1.3,BRL,1,2022-1-1
UGPA3,UGP3E,OP,P,12.8,-200,0.43,BRL,1,2022-1-1
BRKM5,BRK5A,OP,C,48,-600,5.84,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,76.61,-2900,8.9,BRL,1,2022-4-4
HYPE,HYP3A,OP,C,26.72,-8900,0.91,BRL,1,2021-7-12
BBSE3,BBS3A,OP,C,23,-4700,0.15,BRL,1,2022-1-1
JBSS3,JBS3A,OP,C,39.48,-13100,0.08,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,61.97,-520500,0.5,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,26.28,-6900,1.77,BRL,1,2022-1-1
ELET3,ELE3E,OP,P,32.55,-9600,1.03,BRL,1,2021-7-12
MGLU3,MGL3E,OP,C,23.99,-100,0.01,BRL,1,2021-7-12
